k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
112,256,aho_corasick,all,3,1,1,666668,150,100000000,100000200,9106083,315455958,324610167,9154209.000,9106083.000,3.154553271,324610167.000,3.246095178,18312270484892554426,333334,333334,18312270484892554426
112,256,aho_corasick,all,4,1,1,666668,150,100000000,100000200,9999417,323667875,333722834,10054959.000,9999417.000,3.236672277,333722834.000,3.337221666,18312270484892554426,333334,333334,18312270484892554426
112,256,hash,all,0,1,1,666668,150,100000000,100000200,52375,300846000,300903333,57333.000,52375.000,3.008453983,300903333.000,3.009027312,18312270484892554426,333334,333334,18312270484892554426
112,256,hash,all,1,1,1,666668,150,100000000,100000200,59833,301937500,302000667,63167.000,59833.000,3.019368961,302000667.000,3.020000630,18312270484892554426,333334,333334,18312270484892554426
112,256,hash,all,2,1,1,666668,150,100000000,100000200,64708,298060833,298131042,70209.000,64708.000,2.980602369,298131042.000,2.981304457,18312270484892554426,333334,333334,18312270484892554426
112,256,hash,all,3,1,1,666668,150,100000000,100000200,85458,289923250,290011542,88292.000,85458.000,2.899226702,290011542.000,2.900109620,18312270484892554426,333334,333334,18312270484892554426
112,256,hash,all,4,1,1,666668,150,100000000,100000200,47041,270186709,270237958,51249.000,47041.000,2.701861686,270237958.000,2.702374175,18312270484892554426,333334,333334,18312270484892554426
112,64,aho_corasick,all,0,1,4,166668,150,100000000,100000800,9704958,284888500,294712958,2456114.500,2426239.500,2.848862209,287344614.500,2.873423158,7347228724435248932,333336,333336,7347228724435248932
112,64,aho_corasick,all,1,1,4,166668,150,100000000,100000800,8559416,255584708,264226875,2160541.750,2139854.000,2.555826633,257745249.750,2.577431878,7347228724435248932,333336,333336,7347228724435248932
112,64,aho_corasick,all,2,1,4,166668,150,100000000,100000800,8688584,237663959,246415958,2187999.750,2172146.000,2.376620577,239851958.750,2.398500399,7347228724435248932,333336,333336,7347228724435248932
