k,q,mode,run,iterations,patterns,sequences_per_pattern,sequence_length,bases,elapsed_ns,ns_per_base,checksum
6,4,first,6,3,256,512,150,58982400,22314792,0.378329671,196608
6,2,first,6,2,256,512,150,39321600,25226625,0.641546249,131072
6,5,first,6,2,256,512,150,39321600,22610125,0.575005213,131072
6,1,first,7,2,256,512,150,39321600,35838791,0.911427587,131072
6,3,first,7,3,256,512,150,58982400,23378334,0.396361186,196608
6,6,first,7,1,256,512,150,19660800,22878416,1.163656413,65536
6,2,first,7,2,256,512,150,39321600,24988792,0.635497843,131072
6,4,first,7,3,256,512,150,58982400,22301083,0.378097246,196608
6,5,first,7,2,256,512,150,39321600,22644625,0.575882594,131072
6,5,first,8,2,256,512,150,39321600,22541542,0.573261058,131072
6,4,first,8,3,256,512,150,58982400,22288166,0.377878248,196608
6,2,first,8,2,256,512,150,39321600,25051000,0.637079875,131072
6,3,first,8,3,256,512,150,58982400,23286083,0.394797143,196608
6,1,first,8,2,256,512,150,39321600,35527625,0.903514226,131072
6,6,first,8,1,256,512,150,19660800,22789541,1.159135997,65536
6,5,first,9,2,256,512,150,39321600,22653709,0.576113612,131072
6,4,first,9,3,256,512,150,58982400,22230083,0.376893497,196608
6,1,first,9,2,256,512,150,39321600,35736959,0.908837865,131072
6,6,first,9,1,256,512,150,19660800,22783375,1.158822378,65536
6,2,first,9,2,256,512,150,39321600,25086250,0.637976329,131072
6,3,first,9,3,256,512,150,58982400,23215083,0.393593394,196608
6,6,first,10,1,256,512,150,19660800,22745500,1.156895955,65536
6,3,first,10,3,256,512,150,58982400,23135542,0.392244839,196608
6,1,first,10,2,256,512,150,39321600,37507250,0.953858693,131072
6,2,first,10,2,256,512,150,39321600,25215250,0.641256968,131072
6,4,first,10,3,256,512,150,58982400,22395000,0.379689535,196608
6,5,first,10,2,256,512,150,39321600,22559709,0.573723068,131072
6,5,first,11,2,256,512,150,39321600,22565584,0.573872477,131072
6,1,first,11,2,256,512,150,39321600,35388083,0.899965490,131072
6,4,first,11,3,256,512,150,58982400,22734417,0.385444082,196608
6,3,first,11,3,256,512,150,58982400,24361084,0.413022936,196608
6,2,first,11,2,256,512,150,39321600,25532917,0.649335658,131072
6,6,first,11,1,256,512,150,19660800,22884959,1.163989207,65536
6,3,first,12,3,256,512,150,58982400,23304625,0.395111508,196608
6,5,first,12,2,256,512,150,39321600,22646541,0.575931320,131072
6,2,first,12,2,256,512,150,39321600,24928917,0.633975143,131072
6,1,first,12,2,256,512,150,39321600,35834500,0.911318461,131072
6,4,first,12,3,256,512,150,58982400,22310792,0.378261854,196608
6,6,first,12,1,256,512,150,19660800,22828417,1.161113332,65536
6,6,first,13,1,256,512,150,19660800,22854125,1.162420909,65536
6,2,first,13,2,256,512,150,39321600,25234875,0.641756058,131072
6,4,first,13,3,256,512,150,58982400,22244084,0.377130873,196608
6,3,first,13,3,256,512,150,58982400,23183542,0.393058641,196608
6,1,first,13,2,256,512,150,39321600,35765334,0.909559479,131072
6,5,first,13,2,256,512,150,39321600,22654083,0.576123123,131072
6,1,first,14,2,256,512,150,39321600,35816541,0.910861740,131072
6,3,first,14,3,256,512,150,58982400,23115792,0.391909993,196608
6,2,first,14,2,256,512,150,39321600,24964042,0.634868418,131072
6,5,first,14,2,256,512,150,39321600,22663417,0.576360499,131072
6,6,first,14,1,256,512,150,19660800,22852375,1.162331899,65536
6,4,first,14,3,256,512,150,58982400,22297667,0.378039330,196608
6,1,all,0,1,256,512,150,19660800,22907000,1.165110270,4791551
6,6,all,0,1,256,512,150,19660800,29892875,1.520430247,4791551
6,2,all,0,2,256,512,150,39321600,31694334,0.806028595,9583102
6,5,all,0,2,256,512,150,39321600,30580791,0.777709732,9583102
6,4,all,0,3,256,512,150,58982400,33506834,0.568081902,14374653
6,3,all,0,2,256,512,150,39321600,21215750,0.539544423,9583102
6,1,all,1,1,256,512,150,19660800,22968625,1.168244680,4791551
6,2,all,1,2,256,512,150,39321600,32559125,0.828021367,9583102
6,5,all,1,2,256,512,150,39321600,30626750,0.778878530,9583102
6,4,all,1,3,256,512,150,58982400,30325208,0.514139947,14374653
6,3,all,1,2,256,512,150,39321600,20488958,0.521061147,9583102
6,6,all,1,1,256,512,150,19660800,30164542,1.534247945,4791551
