k,patterns,mode,algorithm,runs,median_build_ms_per_matcher,median_search_ns_per_base,median_reference_ns_per_base,mean_reference_ns_per_base,stddev_reference_ns_per_base,min_reference_ns_per_base,max_reference_ns_per_base,slower_than_best_pct
7,4,all,hash,5,0.000555,2.096754525,2.096761354,2.100963027,0.015759281,2.091058643,2.128720896,68.8120
7,4,first,aho_corasick,5,0.012857,1.021186788,1.021323431,1.018228829,0.008055530,1.009239330,1.026784346,0.0000
7,4,first,bndmq,5,0.000919,1.149409966,1.149415687,1.152388881,0.010037735,1.145544405,1.169849400,12.5418
7,4,first,hash,5,0.000408,1.545699650,1.545705125,1.552326613,0.015739622,1.544162292,1.580457197,51.3434
8,1,all,aho_corasick,5,0.008458,0.618463337,0.618549777,0.619580750,0.009938772,0.611068056,0.636100620,75.3670
8,1,all,bndmq,5,0.000331,0.352713603,0.352717339,0.364247791,0.025278949,0.351543215,0.409396705,0.0000
8,1,all,hash,5,0.000389,1.723882673,1.723888460,1.738050462,0.032171014,1.714297145,1.790816661,388.7450
8,1,first,aho_corasick,5,0.008575,0.393725433,0.393812076,0.395055743,0.002444981,0.393027186,0.398977593,37.9528
8,1,first,bndmq,5,0.000284,0.285466800,0.285468766,0.287186357,0.003119849,0.284534387,0.291863953,0.0000
8,1,first,hash,5,0.000146,1.317412621,1.317414893,1.318073175,0.003575017,1.315030826,1.324197293,361.4918
8,2,all,aho_corasick,5,0.010548,4.241479171,4.241598309,4.257152483,0.037080996,4.219954963,4.298319418,561.9122
8,2,all,bndmq,5,0.000393,0.640806727,0.640809793,0.646430645,0.012519532,0.640139820,0.668784444,0.0000
8,2,all,hash,5,0.000335,1.848297168,1.848301132,1.862283906,0.039758529,1.831261689,1.930522743,188.4321
8,2,first,aho_corasick,5,0.010497,3.180567057,3.180676444,3.188328904,0.016522108,3.178944674,3.217498424,518.8456
8,2,first,bndmq,5,0.000484,0.513965052,0.513969290,0.516122170,0.007475261,0.510800962,0.528921728,0.0000
8,2,first,hash,5,0.000268,1.409469588,1.409475082,1.410816333,0.005124845,1.406795656,1.419678457,174.2333
8,4,all,aho_corasick,5,0.013641,1.250325788,1.250463759,1.248631324,0.003979318,1.243401896,1.252627239,2.7209
8,4,all,bndmq,5,0.001171,1.217323353,1.217341527,1.227047939,0.020481831,1.213611165,1.262431260,0.0000
8,4,all,hash,5,0.000358,2.056289715,2.056295723,2.056191346,0.009109355,2.044470717,2.065932904,68.9169
8,4,first,aho_corasick,5,0.013396,1.022277069,1.022412507,1.022729574,0.008768152,1.014711940,1.036644715,5.5326
8,4,first,bndmq,5,0.000951,0.968802663,0.968812063,0.971556331,0.006607639,0.966876204,0.982990743,0.0000
8,4,first,hash,5,0.000328,1.554604761,1.554608718,1.560506455,0.011604120,1.550669512,1.574085617,60.4655
8,5,all,aho_corasick,5,0.015594,1.234113923,1.234266389,1.244546871,0.018078662,1.227870880,1.266861530,0.0000
8,5,all,bndmq,5,0.001280,1.502033684,1.502046920,1.505522818,0.018155211,1.489482922,1.536484986,21.6955
8,5,all,hash,5,0.000400,2.153418953,2.153426068,2.179324998,0.052334977,2.126992836,2.247968374,74.4701
8,5,first,aho_corasick,5,0.015837,1.021969792,1.022142095,1.032416869,0.020171993,1.020493697,1.067959506,0.0000
8,5,first,bndmq,5,0.001503,1.226576467,1.226591978,1.228184204,0.010932636,1.218515227,1.246150671,20.0021
8,5,first,hash,5,0.000633,1.639054450,1.639062109,1.669351013,0.071322605,1.624268095,1.794100682,60.3556
8,6,all,aho_corasick,5,0.017741,1.256464948,1.256655732,1.259459343,0.018950501,1.242447354,1.291615966,0.0000
8,6,all,bndmq,5,0.001761,1.767495020,1.767503431,1.773139000,0.014167357,1.760713175,1.796086293,40.6514
8,6,all,hash,5,0.000645,2.269994760,2.270014130,2.272139530,0.008702687,2.264835809,2.287194015,80.6393
8,6,first,aho_corasick,5,0.017698,1.015266458,1.015439315,1.020412737,0.014459609,1.011095077,1.045802880,0.0000
8,6,first,bndmq,5,0.001547,1.423530702,1.423546874,1.427782099,0.010087217,1.418367736,1.439689458,40.1902
8,6,first,hash,5,0.000623,1.697814747,1.697822228,1.706688541,0.017155544,1.694437578,1.734752514,67.2008
8,8,all,aho_corasick,5,0.020322,1.240226143,1.240430577,1.243881525,0.007465864,1.239797016,1.257152226,0.0000
8,8,all,bndmq,5,0.002315,2.307902807,2.307921518,2.316914240,0.013775192,2.305074197,2.333754447,86.0581
8,8,all,hash,5,0.000822,2.072507430,2.072522234,2.067240724,0.012068345,2.053851103,2.078198049,67.0809
8,8,first,aho_corasick,5,0.020684,1.014444208,1.014648329,1.019535066,0.011655114,1.012886595,1.040321420,0.0000
8,8,first,bndmq,5,0.001854,1.841743974,1.841779064,1.843684371,0.008459473,1.833228342,1.854070025,81.5190
8,8,first,hash,5,0.000953,1.587400873,1.587414714,1.587230918,0.026675697,1.551059924,1.623976415,56.4497
8,16,all,aho_corasick,5,0.033313,1.241992756,1.242325558,1.249918693,0.013022845,1.240354221,1.271178209,0.0000
8,16,all,bndmq,5,0.004206,4.474990550,4.475040054,4.469450019,0.013821904,4.451887071,4.483122143,260.2148
8,16,all,hash,5,0.000935,2.165646529,2.165658091,2.169492981,0.011486034,2.158968309,2.188563007,74.3229
8,16,first,aho_corasick,5,0.033307,1.010966819,1.011273814,1.012293649,0.005086371,1.006617632,1.019834290,0.0000
8,16,first,bndmq,5,0.004841,3.533532347,3.533596095,3.531587916,0.010278669,3.520410159,3.546319952,249.4203
8,16,first,hash,5,0.000794,1.622156011,1.622166115,1.623400721,0.005046325,1.620008752,1.632204746,60.4082
8,32,all,aho_corasick,5,0.058755,1.246172121,1.246741750,1.294049640,0.107559860,1.244397129,1.486441546,0.0000
8,32,all,bndmq,5,0.007802,8.833402243,8.833483546,8.888960846,0.117418560,8.775179330,9.019228942,608.5255
8,32,all,hash,5,0.001797,2.372583109,2.372622223,2.397839007,0.068309703,2.352502641,2.518623709,90.3058
8,32,first,aho_corasick,5,0.054948,1.006796946,1.007344806,1.007827458,0.005178839,1.002412397,1.013178977,0.0000
8,32,first,bndmq,5,0.006948,6.810262598,6.810333587,6.797341233,0.074562445,6.682262893,6.889762588,576.0678
8,32,first,hash,5,0.001287,1.736296530,1.736309186,1.741515613,0.010494890,1.735154606,1.760007540,72.3649
8,64,all,aho_corasick,5,0.103219,1.252124983,1.253157995,1.258409141,0.011992111,1.252735606,1.279854866,0.0000
8,64,all,bndmq,5,0.017500,17.399162057,17.399457992,17.470035052,0.157481197,17.347868512,17.728396925,1288.4489
8,64,all,hash,5,0.001552,2.796305130,2.796335964,2.802892409,0.012040972,2.795900758,2.823905114,123.1431
8,64,first,aho_corasick,5,0.103239,0.979942990,0.980986107,0.981708686,0.002413861,0.979076540,0.985598678,0.0000
8,64,first,bndmq,5,0.015854,13.074369155,13.074543634,13.052360643,0.070581523,12.973818294,13.146665552,1232.7960
8,64,first,hash,5,0.002625,2.005914363,2.005959155,2.009949190,0.010281809,2.003189292,2.027834612,104.4840
8,128,all,aho_corasick,5,0.197459,1.275905368,1.277862864,1.288128299,0.021427605,1.272972034,1.324660061,0.0000
8,128,all,hash,5,0.003417,2.305620809,2.305751223,2.311731960,0.012446425,2.299303736,2.330508254,80.4381
8,128,first,aho_corasick,5,0.181271,0.947391025,0.949250186,0.951933596,0.009007058,0.945782068,0.967507230,0.0000
8,128,first,hash,5,0.004792,1.568966442,1.569042697,1.568418613,0.006492501,1.560878543,1.577159346,65.2929
8,256,all,aho_corasick,5,0.364917,1.295122830,1.298874072,1.302999310,0.006801536,1.298591153,1.314282781,0.0000
8,256,all,hash,5,0.003041,2.640904718,2.641078048,2.641419717,0.013416644,2.626036828,2.659406351,103.3360
8,256,first,aho_corasick,5,0.381125,0.912426095,0.916344417,0.911978510,0.009870220,0.895839868,0.919357331,0.0000
8,256,first,hash,5,0.004167,1.598180974,1.598335143,1.602075716,0.014970916,1.590989738,1.628201744,74.4252
8,1000,all,aho_corasick,5,1.244875,2.241529267,2.254270491,2.250986582,0.031152048,2.215848068,2.294590411,0.0000
8,1000,all,hash,5,0.008250,2.801943976,2.802169396,2.803694727,0.009676643,2.794135662,2.818798112,24.3049
8,1000,first,aho_corasick,5,1.224458,0.925368149,0.936823956,0.962619491,0.043333904,0.935302299,1.035447929,0.0000
8,1000,first,hash,5,0.019750,1.018267963,1.018576713,1.017588383,0.011905369,1.003721333,1.034030022,8.7266
8,3162,first,aho_corasick,5,3.284500,0.906047768,0.939763950,0.926321813,0.035878906,0.864198272,0.953459753,0.0000
8,3162,first,hash,5,0.029417,1.304174482,1.304529061,1.322272189,0.028202376,1.299941980,1.363311023,38.8145
8,5623,first,aho_corasick,5,4.952041,0.688203214,0.741941846,0.736591109,0.034155546,0.699289011,0.771973036,12.7712
8,5623,first,hash,5,0.037375,0.657449935,0.657917854,0.660003016,0.012007340,0.648463703,0.679801560,0.0000
