k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
128,128,first,hash,1.288696648,aho_corasick,97.9352
128,256,all,hash,1.415374189,aho_corasick,128.6348
128,256,first,hash,1.282144326,aho_corasick,132.7318
128,1000,all,hash,1.445063930,aho_corasick,218.3757
128,1000,first,hash,1.302677175,aho_corasick,243.0694
128,10000,all,hash,1.726983376,aho_corasick,915.6027
128,10000,first,hash,1.504001912,aho_corasick,1011.4279
128,100000,all,hash,2.558378753,,
128,100000,first,hash,2.296824956,,
128,1000000,all,hash,4.808492743,,
128,1000000,first,hash,4.900190960,,
