k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,128,bndmq,first,3,1,2,333334,150,100000000,100000200,92623,177969022,178089908,60443.000,46311.500,1.779686661,178029465.000,1.780291089,9494516320557277198,666668,666668,9494516320557277198
4,128,bndmq,first,4,1,2,333334,150,100000000,100000200,94356,204128353,204241303,56475.000,47178.000,2.041279447,204184828.000,2.041844196,9494516320557277198,666668,666668,9494516320557277198
4,128,hash,first,0,1,2,333334,150,100000000,100000200,9037,18153437,18164738,5650.500,4518.500,0.181534007,18159087.500,0.181590512,9494516320557277198,666668,666668,9494516320557277198
4,128,hash,first,1,1,2,333334,150,100000000,100000200,14237,19740895,19757987,8546.000,7118.500,0.197408555,19749441.000,0.197494015,9494516320557277198,666668,666668,9494516320557277198
4,128,hash,first,2,1,2,333334,150,100000000,100000200,5871,17977921,17986517,4298.000,2935.500,0.179778850,17982219.000,0.179821830,9494516320557277198,666668,666668,9494516320557277198
4,128,hash,first,3,1,2,333334,150,100000000,100000200,5000,18513850,18521535,3842.500,2500.000,0.185138130,18517692.500,0.185176555,9494516320557277198,666668,666668,9494516320557277198
4,128,hash,first,4,1,2,333334,150,100000000,100000200,4980,19448694,19456619,3962.500,2490.000,0.194486551,19452656.500,0.194526176,9494516320557277198,666668,666668,9494516320557277198
4,256,bndmq,first,0,1,1,666668,150,100000000,100000200,114955,177032531,177182601,150070.000,114955.000,1.770321769,177182601.000,1.771822466,5016691434576999751,666668,666668,5016691434576999751
4,256,bndmq,first,1,1,1,666668,150,100000000,100000200,118200,179332556,179452580,120024.000,118200.000,1.793321973,179452580.000,1.794522211,5016691434576999751,666668,666668,5016691434576999751
4,256,bndmq,first,2,1,1,666668,150,100000000,100000200,31830,196586034,196619647,33613.000,31830.000,1.965856408,196619647.000,1.966192538,5016691434576999751,666668,666668,5016691434576999751
4,256,bndmq,first,3,1,1,666668,150,100000000,100000200,32040,193827262,193860995,33733.000,32040.000,1.938268743,193860995.000,1.938606073,5016691434576999751,666668,666668,5016691434576999751
4,256,bndmq,first,4,1,1,666668,150,100000000,100000200,37409,190167552,190206494,38942.000,37409.000,1.901671717,190206494.000,1.902061136,5016691434576999751,666668,666668,5016691434576999751
4,256,hash,first,0,1,1,666668,150,100000000,100000200,9668,11028575,11040037,11462.000,9668.000,0.110285529,11040037.000,0.110400149,5016691434576999751,666668,666668,5016691434576999751
4,256,hash,first,1,1,1,666668,150,100000000,100000200,12985,9999706,10014664,14958.000,12985.000,0.099996860,10014664.000,0.100146440,5016691434576999751,666668,666668,5016691434576999751
4,256,hash,first,2,1,1,666668,150,100000000,100000200,5350,10628386,10635770,7384.000,5350.000,0.106283647,10635770.000,0.106357487,5016691434576999751,666668,666668,5016691434576999751
4,256,hash,first,3,1,1,666668,150,100000000,100000200,5580,9850998,9858672,7674.000,5580.000,0.098509783,9858672.000,0.098586523,5016691434576999751,666668,666668,5016691434576999751
4,256,hash,first,4,1,1,666668,150,100000000,100000200,5901,9575011,9583337,8326.000,5901.000,0.095749919,9583337.000,0.095833178,5016691434576999751,666668,666668,5016691434576999751
4,256,aho_corasick,first,0,1,1,666668,150,100000000,100000200,146103,9537565,9688417,150852.000,146103.000,0.095375459,9688417.000,0.096883976,5016691434576999751,666668,666668,5016691434576999751
4,256,aho_corasick,first,1,1,1,666668,150,100000000,100000200,167974,10053387,10224747,171360.000,167974.000,0.100533669,10224747.000,0.102247266,5016691434576999751,666668,666668,5016691434576999751
4,256,aho_corasick,first,2,1,1,666668,150,100000000,100000200,137887,9720232,9863288,143056.000,137887.000,0.097202126,9863288.000,0.098632683,5016691434576999751,666668,666668,5016691434576999751
4,256,aho_corasick,first,3,1,1,666668,150,100000000,100000200,174375,9903384,10099110,195726.000,174375.000,0.099033642,10099110.000,0.100990898,5016691434576999751,666668,666668,5016691434576999751
4,256,aho_corasick,first,4,1,1,666668,150,100000000,100000200,188512,9473564,9666845,193281.000,188512.000,0.094735451,9666845.000,0.096668257,5016691434576999751,666668,666668,5016691434576999751
4,1,bndmq,all,0,1,64,10418,150,100000000,100012800,98205,126971575,127082453,1732.469,1534.453,1.269553247,126973307.469,1.269570570,16505644329808668365,478909,716601,16505644329808668365
4,1,bndmq,all,1,1,64,10418,150,100000000,100012800,20197,133966082,134008430,661.688,315.578,1.339489365,133966743.688,1.339495981,16505644329808668365,478909,716601,16505644329808668365
4,1,bndmq,all,2,1,64,10418,150,100000000,100012800,22993,135009738,135055052,708.031,359.266,1.349924590,135010446.031,1.349931669,16505644329808668365,478909,716601,16505644329808668365
4,1,bndmq,all,3,1,64,10418,150,100000000,100012800,24185,125765568,125810381,700.203,377.891,1.257494721,125766268.203,1.257501722,16505644329808668365,478909,716601,16505644329808668365
4,1,bndmq,all,4,1,64,10418,150,100000000,100012800,22953,123750584,123794837,691.453,358.641,1.237347460,123751275.453,1.237354373,16505644329808668365,478909,716601,16505644329808668365
4,1,aho_corasick,all,0,1,64,10418,150,100000000,100012800,605048,68121806,68748636,9794.219,9453.875,0.681130875,68131600.219,0.681228805,16505644329808668365,478909,716601,16505644329808668365
4,1,aho_corasick,all,1,1,64,10418,150,100000000,100012800,709875,67460826,68189385,11383.734,11091.797,0.674521921,67472209.734,0.674635744,16505644329808668365,478909,716601,16505644329808668365
4,1,aho_corasick,all,2,1,64,10418,150,100000000,100012800,573520,67592620,68184775,9252.422,8961.250,0.675839693,67601872.422,0.675932205,16505644329808668365,478909,716601,16505644329808668365
4,1,aho_corasick,all,3,1,64,10418,150,100000000,100012800,584841,67275064,67883970,9514.156,9138.141,0.672664539,67284578.156,0.672759668,16505644329808668365,478909,716601,16505644329808668365
4,1,aho_corasick,all,4,1,64,10418,150,100000000,100012800,644402,67215389,67883505,10439.312,10068.781,0.672067865,67225828.312,0.672172245,16505644329808668365,478909,716601,16505644329808668365
4,1,hash,all,0,1,64,10418,150,100000000,100012800,15659,239012390,239032427,313.078,244.672,2.389818003,239012703.078,2.389821134,16505644329808668365,478909,716601,16505644329808668365
4,1,hash,all,1,1,64,10418,150,100000000,100012800,15970,237602889,237622315,303.531,249.531,2.375724797,237603192.531,2.375727832,16505644329808668365,478909,716601,16505644329808668365
