k,patterns,algorithm,mode,status,wall_ms,detail
10,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
12,1,aho_corasick,first,ok,614,""
12,1,hash,first,ok,1002,""
12,1,bndmq,first,ok,467,""
12,2,hash,first,ok,1050,""
12,2,bndmq,first,ok,542,""
12,2,aho_corasick,first,ok,2398,""
12,4,bndmq,first,ok,515,""
12,4,aho_corasick,first,ok,781,""
12,4,hash,first,ok,1144,""
12,8,hash,first,ok,606,""
12,8,aho_corasick,first,ok,401,""
12,8,bndmq,first,ok,479,""
12,16,bndmq,first,ok,427,""
12,16,aho_corasick,first,ok,401,""
12,16,hash,first,ok,605,""
12,32,aho_corasick,first,ok,392,""
12,32,hash,first,ok,434,""
12,32,bndmq,first,ok,413,""
12,64,bndmq,first,ok,415,""
12,64,aho_corasick,first,ok,362,""
12,64,hash,first,ok,380,""
12,128,hash,first,ok,337,""
12,128,bndmq,first,ok,412,""
12,128,aho_corasick,first,ok,337,""
12,256,aho_corasick,first,ok,333,""
12,256,hash,first,ok,325,""
12,256,bndmq,first,ok,433,""
12,1000,hash,first,ok,335,""
12,1000,aho_corasick,first,ok,333,""
12,1000,bndmq,first,ok,1533,""
12,10000,bndmq,first,ok,14568,""
12,10000,hash,first,ok,332,""
12,10000,aho_corasick,first,ok,436,""
12,100000,bndmq,first,timed_out,37417,"one matcher-build plus corpus-search iteration took 18536.557 ms"
12,100000,hash,first,ok,348,""
12,100000,aho_corasick,first,ok,3515,""
12,1000000,aho_corasick,first,timed_out,5479,"one matcher-build plus corpus-search iteration took 2679.768 ms"
12,1000000,hash,first,ok,674,""
12,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
12,1,aho_corasick,all,ok,508,""
12,1,hash,all,ok,1263,""
12,1,bndmq,all,ok,545,""
12,2,hash,all,ok,1336,""
12,2,bndmq,all,ok,645,""
12,2,aho_corasick,all,ok,3206,""
12,4,bndmq,all,ok,618,""
12,4,aho_corasick,all,ok,949,""
12,4,hash,all,ok,1476,""
12,8,bndmq,all,ok,575,""
12,8,aho_corasick,all,ok,477,""
12,8,hash,all,ok,744,""
12,16,aho_corasick,all,ok,467,""
12,16,hash,all,ok,435,""
12,16,bndmq,all,ok,513,""
12,32,hash,all,ok,364,""
12,32,bndmq,all,ok,515,""
12,32,aho_corasick,all,ok,367,""
12,64,bndmq,all,ok,498,""
12,64,aho_corasick,all,ok,384,""
12,64,hash,all,ok,404,""
12,128,hash,all,ok,355,""
12,128,aho_corasick,all,ok,340,""
12,128,bndmq,all,ok,485,""
12,256,bndmq,all,ok,503,""
12,256,hash,all,ok,333,""
12,256,aho_corasick,all,ok,366,""
12,1000,aho_corasick,all,ok,329,""
12,1000,hash,all,ok,343,""
12,1000,bndmq,all,ok,1936,""
12,10000,aho_corasick,all,ok,428,""
12,10000,hash,all,ok,335,""
12,10000,bndmq,all,ok,19267,""
12,100000,bndmq,all,timed_out,60012,"hard timeout after 60 seconds"
12,100000,hash,all,ok,435,""
12,100000,aho_corasick,all,ok,3546,""
12,1000000,aho_corasick,all,timed_out,5497,"one matcher-build plus corpus-search iteration took 2707.279 ms"
12,1000000,hash,all,ok,464,""
12,1000000,bndmq,all,pruned,0,"a smaller pattern count timed out"
16,1,bndmq,first,ok,423,""
16,1,aho_corasick,first,ok,592,""
16,1,hash,first,ok,967,""
16,2,bndmq,first,ok,452,""
16,2,hash,first,ok,1026,""
16,2,aho_corasick,first,ok,2370,""
16,4,bndmq,first,ok,726,""
16,4,hash,first,ok,1160,""
16,4,aho_corasick,first,ok,821,""
16,8,aho_corasick,first,ok,431,""
16,8,bndmq,first,ok,642,""
16,8,hash,first,ok,571,""
16,16,bndmq,first,ok,605,""
16,16,aho_corasick,first,ok,394,""
16,16,hash,first,ok,606,""
16,32,aho_corasick,first,ok,402,""
16,32,bndmq,first,ok,576,""
16,32,hash,first,ok,443,""
16,64,bndmq,first,ok,546,""
16,64,aho_corasick,first,ok,361,""
16,64,hash,first,ok,368,""
16,128,bndmq,first,ok,557,""
16,128,aho_corasick,first,ok,336,""
16,128,hash,first,ok,366,""
16,256,aho_corasick,first,ok,332,""
16,256,bndmq,first,ok,563,""
16,256,hash,first,ok,333,""
16,1000,bndmq,first,ok,1149,""
16,1000,hash,first,ok,347,""
16,1000,aho_corasick,first,ok,367,""
16,10000,bndmq,first,ok,10971,""
16,10000,hash,first,ok,345,""
16,10000,aho_corasick,first,ok,633,""
16,100000,aho_corasick,first,ok,6841,""
16,100000,hash,first,ok,365,""
16,100000,bndmq,first,timed_out,51090,"one matcher-build plus corpus-search iteration took 25488.404 ms"
16,1000000,hash,first,ok,774,""
16,1000000,bndmq,first,pruned,0,"a smaller pattern count timed out"
16,1000000,aho_corasick,first,timed_out,13469,"one matcher-build plus corpus-search iteration took 6662.337 ms"
16,1,aho_corasick,all,ok,493,""
16,1,bndmq,all,ok,487,""
16,1,hash,all,ok,1237,""
16,2,hash,all,ok,1322,""
16,2,bndmq,all,ok,494,""
16,2,aho_corasick,all,ok,3155,""
16,4,bndmq,all,ok,488,""
16,4,aho_corasick,all,ok,968,""
16,4,hash,all,ok,1451,""
16,8,aho_corasick,all,ok,481,""
16,8,hash,all,ok,731,""
16,8,bndmq,all,ok,431,""
16,16,aho_corasick,all,ok,465,""
16,16,bndmq,all,ok,416,""
16,16,hash,all,ok,451,""
16,32,aho_corasick,all,ok,352,""
16,32,bndmq,all,ok,378,""
16,32,hash,all,ok,389,""
16,64,hash,all,ok,302,""
16,64,bndmq,all,ok,389,""
16,64,aho_corasick,all,ok,410,""
