k,patterns,mode,algorithm,runs,median_fixed_ns_per_matcher,fixed_p2_5_ns_per_matcher,fixed_p97_5_ns_per_matcher,median_search_ns_per_base,search_p2_5_ns_per_base,search_p97_5_ns_per_base
8,16,first,bndmq,5,7175.312000000,6923.725000000,10773.888000000,5.749445178,5.679973653,5.835498794
8,16,first,hash,5,973.062000000,817.825400000,1239.880800000,1.817569438,1.775979932,1.830059684
8,32,all,aho_corasick,5,73060.000000000,69707.712500000,84131.900000000,2.130557536,2.098175554,2.158511636
8,32,all,bndmq,5,12533.375000000,10721.950000000,28331.412500000,15.539447454,15.483914385,15.870674999
8,32,all,hash,5,1735.625000000,1558.137500000,3416.550000000,2.624862481,2.563884191,2.646028658
8,32,first,aho_corasick,5,69351.875000000,67968.437500000,80643.037500000,1.579251706,1.555057522,1.585519568
8,32,first,bndmq,5,11228.375000000,10618.112500000,18258.412500000,10.931011852,10.850100103,11.109093806
8,32,first,hash,5,2157.875000000,1736.375000000,2699.600000000,1.808479662,1.730220122,1.862215216
8,64,all,aho_corasick,5,124810.250000000,115004.975000000,178735.950000000,2.078909599,1.967877302,2.121341423
8,64,all,hash,5,2700.000000000,2516.250000000,4651.850000000,2.830948182,2.814832927,2.929591165
8,64,first,aho_corasick,5,124795.250000000,116412.450000000,142235.825000000,1.601105651,1.537069769,1.662422743
8,64,first,hash,5,2432.000000000,2257.800000000,4205.125000000,1.954122237,1.901944643,2.023651791
8,128,all,aho_corasick,5,231772.000000000,205448.050000000,319767.700000000,2.182124576,2.147759370,2.281767718
8,128,all,hash,5,4478.000000000,3834.650000000,7242.850000000,2.689494321,2.629236726,2.719745898
8,128,first,aho_corasick,5,217696.000000000,201251.750000000,264946.150000000,1.573799132,1.532732062,1.623309421
8,128,first,hash,5,4463.500000000,4247.050000000,9567.050000000,1.659534481,1.643025634,1.949903074
8,256,all,aho_corasick,5,386301.000000000,367001.500000000,446602.500000000,2.445011640,2.422422262,2.521133596
8,256,all,hash,5,9107.000000000,8171.100000000,13413.400000000,2.658551083,2.655604543,2.707873040
8,256,first,aho_corasick,5,413712.000000000,378077.600000000,476423.400000000,1.493637803,1.453638119,1.515401539
