k,patterns,mode,algorithm,runs,median_fixed_ns_per_matcher,fixed_p2_5_ns_per_matcher,fixed_p97_5_ns_per_matcher,median_search_ns_per_base,search_p2_5_ns_per_base,search_p97_5_ns_per_base
6,256,all,hash,5,6852.000000000,6385.000000000,12419.900000000,4.562630685,4.491076697,4.593713869
6,256,first,aho_corasick,5,284219.000000000,244278.500000000,309961.600000000,0.464918360,0.456258859,0.517885917
6,256,first,hash,5,9357.000000000,6778.100000000,13916.300000000,0.520144130,0.503106539,0.540147118
6,1000,all,aho_corasick,5,749789.000000000,732101.000000000,933526.100000000,5.824939370,5.785759253,6.108140331
6,1000,all,hash,5,15890.000000000,15588.100000000,38020.500000000,10.749247012,10.635418374,10.799246010
6,1000,first,aho_corasick,5,744078.000000000,718428.900000000,903460.100000000,0.345515019,0.332974208,0.358696783
6,1000,first,hash,5,20398.000000000,15653.000000000,33747.600000000,0.381899006,0.368764414,0.406536355
8,1,all,aho_corasick,5,10335.078000000,9855.989300000,11503.735900000,0.583188092,0.578636417,0.587231388
8,1,all,bndmq,5,645.109000000,643.673200000,1190.644100000,0.581728829,0.543298237,0.595390917
8,1,all,hash,5,234.500000000,206.129700000,331.309600000,1.966769044,1.924236661,1.982692220
8,1,first,aho_corasick,5,10431.641000000,9991.094900000,12363.725000000,0.323724493,0.320948665,0.331287863
8,1,first,bndmq,5,675.625000000,591.867500000,1102.427700000,0.445114905,0.422114376,0.455327610
8,1,first,hash,5,255.641000000,216.412500000,301.373300000,1.368641734,1.347011634,1.431191399
8,2,all,aho_corasick,5,12389.047000000,12199.974800000,14464.548400000,5.384240337,5.328812681,5.448889697
8,2,all,bndmq,5,1156.547000000,1139.048200000,1570.730000000,1.091488220,1.084020556,1.181688848
8,2,all,hash,5,394.016000000,292.971500000,493.625400000,2.074521701,2.048421760,2.131918403
8,2,first,aho_corasick,5,12573.000000000,12343.401600000,13851.014500000,3.897509029,3.778817375,3.961967945
8,2,first,bndmq,5,1284.891000000,1187.732900000,1692.907600000,0.796139444,0.784245476,0.829983057
8,2,first,hash,5,315.125000000,269.706000000,372.746500000,1.425454312,1.401945089,1.493134937
8,4,all,aho_corasick,5,18291.297000000,16894.361200000,20551.375200000,2.091624752,1.977109739,2.117094653
8,4,all,bndmq,5,2368.953000000,2214.884300000,3876.972300000,2.028092454,1.997460501,2.048502416
8,4,all,hash,5,500.922000000,397.862300000,549.070200000,2.221129325,2.197308056,2.256741325
8,4,first,aho_corasick,5,17440.031000000,16477.937600000,20830.847200000,1.526275217,1.505726524,1.602070890
8,4,first,bndmq,5,2399.156000000,2174.959600000,3092.240600000,1.510684222,1.483272556,1.551248929
8,4,first,hash,5,537.266000000,392.177000000,593.427800000,1.572228795,1.529446983,1.619375477
8,8,all,aho_corasick,5,29966.250000000,24939.296400000,32470.265800000,2.091001458,1.955073448,2.167960776
8,8,all,bndmq,5,4482.156000000,4330.025200000,5412.009100000,3.994720859,3.965407109,4.114232095
8,8,all,hash,5,554.781000000,524.975200000,827.271600000,2.608201588,2.521977891,2.657744377
8,8,first,aho_corasick,5,24456.594000000,24055.608900000,29666.115400000,1.512927696,1.503243731,1.543376445
8,8,first,bndmq,5,4418.844000000,4314.256500000,5449.881300000,2.903948114,2.863422009,2.929211657
8,8,first,hash,5,612.062000000,574.252700000,821.252700000,1.792818090,1.764682261,1.816271003
8,16,all,aho_corasick,5,41688.438000000,38692.612500000,46221.987500000,2.061366016,1.983829067,2.239132974
8,16,all,bndmq,5,8380.000000000,7250.018800000,10528.693800000,7.915238172,7.681544870,8.036388091
8,16,all,hash,5,988.125000000,954.887500000,1999.800000000,2.593685272,2.579717783,2.637715883
8,16,first,aho_corasick,5,46169.250000000,39884.844200000,51624.931200000,1.576396645,1.533564227,1.622592422
