k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
64,10000,first,0,hash,0.000000,
64,100000,all,0,hash,0.000000,
64,100000,first,0,hash,0.000000,
64,1000000,all,0,hash,0.000000,
64,1000000,first,0,hash,0.000000,
80,1,all,0,hash,0.000000,50048.456073
80,1,all,1,aho_corasick,50048.456073,
80,1,first,0,hash,0.000000,31260.310633
80,1,first,1,aho_corasick,31260.310633,
80,2,all,0,hash,0.000000,
80,2,first,0,hash,0.000000,
80,4,all,0,hash,0.000000,
80,4,first,0,hash,0.000000,
80,8,all,0,hash,0.000000,
80,8,first,0,hash,0.000000,
80,16,all,0,hash,0.000000,
80,16,first,0,hash,0.000000,
80,32,all,0,hash,0.000000,
80,32,first,0,hash,0.000000,
80,64,all,0,hash,0.000000,
80,64,first,0,hash,0.000000,
80,128,all,0,hash,0.000000,
80,128,first,0,hash,0.000000,
80,256,all,0,hash,0.000000,
80,256,first,0,hash,0.000000,
80,1000,all,0,hash,0.000000,
80,1000,first,0,hash,0.000000,
80,10000,all,0,hash,0.000000,
80,10000,first,0,hash,0.000000,
80,100000,all,0,hash,0.000000,
80,100000,first,0,hash,0.000000,
80,1000000,all,0,hash,0.000000,
80,1000000,first,0,hash,0.000000,
96,1,all,0,hash,0.000000,83164.447691
96,1,all,1,aho_corasick,83164.447691,
96,1,first,0,hash,0.000000,35205.574310
96,1,first,1,aho_corasick,35205.574310,
96,2,all,0,hash,0.000000,
96,2,first,0,hash,0.000000,
96,4,all,0,hash,0.000000,
96,4,first,0,hash,0.000000,
96,8,all,0,hash,0.000000,
96,8,first,0,hash,0.000000,
96,16,all,0,hash,0.000000,
96,16,first,0,hash,0.000000,
96,32,all,0,hash,0.000000,
96,32,first,0,hash,0.000000,
96,64,all,0,hash,0.000000,
96,64,first,0,hash,0.000000,
96,128,all,0,hash,0.000000,
96,128,first,0,hash,0.000000,
96,256,all,0,hash,0.000000,
96,256,first,0,hash,0.000000,
96,1000,all,0,hash,0.000000,
96,1000,first,0,hash,0.000000,
96,10000,all,0,hash,0.000000,
96,10000,first,0,hash,0.000000,
96,100000,all,0,hash,0.000000,
96,100000,first,0,hash,0.000000,
96,1000000,all,0,hash,0.000000,
96,1000000,first,0,hash,0.000000,
128,1,all,0,hash,0.000000,
128,1,first,0,hash,0.000000,47408.838133
128,1,first,1,aho_corasick,47408.838133,
128,2,all,0,hash,0.000000,
128,2,first,0,hash,0.000000,
128,4,all,0,hash,0.000000,
128,4,first,0,hash,0.000000,
128,8,all,0,hash,0.000000,
128,8,first,0,hash,0.000000,
128,16,all,0,hash,0.000000,
128,16,first,0,hash,0.000000,
